Brand,Sculpt,Colorway,Price,Location,Image,Notes
Simulacra,Skullrider,Lemonade,$28 ,I5,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_164816.jpg,
Simulacra,Skullrider,Sunkist,$28 ,J5,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_164831.jpg,
Kebo,Dragon,Tsuchi,$32 ,G3,http://nerdblog.io/wp-content/uploads/2018/03/IMG_20180330_152133.jpg,
Simulacra,Skullrider,Yeti,$33 ,J2,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_164850.jpg,
Simulacra,Skullrider,Orchid,$33 ,J3,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_164927.jpg,
Simulacra,Greazly,Summer sunset,$33 ,J4,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_164940.jpg,
Simulacra,Skullrider,Ha-Ha,$33 ,K1,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_164958.jpg,
Simulacra,Greazly,Midnight,$33 ,K2,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_165009.jpg,
Simulacra,Greazly,Fuschia,$33 ,K3,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_165053.jpg,
Simulacra,Greazly,Fuschia,$33 ,K4,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_165129.jpg,
Simulacra,Greazly,Carbon,$33 ,K5,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_165137.jpg,
Simulacra,Skullrider,Molten,$33 ,L1,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_165149.jpg,
Simulacra,Skullrider,Corrosive,$33 ,L2,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_165156.jpg,
Simulacra,Greazly,Venomous,$33 ,L3,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_165218.jpg,
Simulacra,Greazly,Venomous,$33 ,L4,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_165246.jpg,
Simulacra,Greazly,Beserker,$33 ,L5,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_165232-1.jpg,
Simulacra,Greazly,Scooby da bee doo,$33 ,M1,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_165255.jpg,
Simulacra,Keyno,Perussian Blue,$33 ,M2,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_165306.jpg,
Simulacra,Greazly,Spring,$35 ,F3,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180320_202414.jpg,
Simulacra,Geekrilla,Meteor,$40 ,H4,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180425_175822.jpg,
Alphakeys,Blinker,Dolchy,$42 ,F5,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180426_194957.jpg,
Alphakeys,Blinker,Chewchew,$46 ,D5,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180426_194919.jpg,
Alphakeys,Blinker,OG,$48 ,A5,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180426_194851.jpg,
Alphakeys,Blinker,Purp Cyanide,Hard Trade,A4,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180426_194840.jpg,
Cozcaps,No Esc,Cosmic,Hard Trade,B3,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180425_180112.jpg,
Alphakeys,Alpha Ape,Fusion,Hard Trade,B4,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180426_194902.jpg,
Alphakeys,Blinker,Sully,Hard Trade,B5,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180426_194831.jpg,
Kebo,Dragon,Sora,Hard Trade,C3,http://nerdblog.io/wp-content/uploads/2018/03/IMG_20180330_152147.jpg,
Alphakeys,Blinker,Snes,Hard Trade,C5,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180426_194910.jpg,
Nightcaps,Shellthulu,HF Staxx,Hard Trade,D1,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180427_174455.jpg,
Artkey,Raiji,Kanu,Hard Trade,D2,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180416_193111.jpg,
Artkey,Jack Bald,Original,Hard Trade,D3,http://nerdblog.io/wp-content/uploads/2018/03/IMG_20180319_183203.jpg,
Navacaps,Symbio,Hyper,Hard Trade,D4,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180426_193520.jpg,
Brewcaps,Hobbit Hole,Original,Hard Trade,E2,http://nerdblog.io/wp-content/uploads/2018/03/IMG_20180303_131942.jpg,
Artkey,Jack Bald,Hyperfuse,Hard Trade,E3,http://nerdblog.io/wp-content/uploads/2018/03/IMG_20180319_183236.jpg,
Just Another Keymaker,Peek,Hyper Violet Shine,Hard Trade,F1,http://nerdblog.io/wp-content/uploads/2018/03/IMG_20180312_175959.jpg,
Craftkey,Durotan,White Handprint,Hard Trade,F4,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180423_173543.jpg,
Lividity Caps,Mute,Bunny,Hard Trade,H2,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180430_185114.jpg,
Alphakeys,Blinker,Special Lazerman,Hard Trade,H3,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180426_194938.jpg,1 Off
Simulacra,Geekrilla,Wild Berry,Hard Trade,H5,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180425_175754.jpg,
Simulacra,Skullrider,Purplue,Hard Trade,I1,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180504_164757.jpg,
Nzcaps,Avian,Aluminum,Hard Trade,I2,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180502_153939.jpg,
Lividity Caps,Mute,Hyper Silence,Hard Trade,J1,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180430_185303.jpg,
Primecaps,TRDL,Deep Field Little Bang,Trade,A2,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180426_194455.jpg,
Krap,Skull,Green,Trade,B2,http://nerdblog.io/wp-content/uploads/2018/03/IMG_20180313_155004.jpg,
Artkey,Bull,Hyperfuse,Trade,C2,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180403_165515.jpg,
Landcaps,Throne,Westeros,Trade,C4,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180425_180059.jpg,
Suited Up Keycaps,Keybuto V1,Hyperarmor,Trade,E1,http://nerdblog.io/wp-content/uploads/2018/03/IMG_20180303_131823.jpg,
Nightcaps,Eggface,Lemon Kollapse,Trade,F2,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180423_173721.jpg,Set with G2
Nightcaps,Fugu,Lemon Kollapse,Trade,G2,http://nerdblog.io/wp-content/uploads/2018/05/IMG_20180430_185158-1.jpg,Set with F2
Simulacra,Geekrilla,Grey Langur,Trade,G5,http://nerdblog.io/wp-content/uploads/2018/04/IMG_20180425_175848.jpg,
